participant_id,scenario,decision,confidence,familiarity
18,Foodborne illness,1,1,3
19,Wildfire,1,2,2
19,Hurricane,2,3,3
19,Chemical spill,1,1,1
19,Terrorist threat,2,2,2
19,Contagious disease outbreak,1,3,3
19,Flooding,2,1,2
19,Earthquake,1,2,1
19,Foodborne illness,2,3,2
20,Wildfire,2,1,3
20,Hurricane,1,3,1
20,Chemical spill,2,2,1
20,Terrorist threat,1,1,3
20,Contagious disease outbreak,2,3,2
20,Flooding,1,2,1
20,Earthquake,2,1,3
20,Foodborne illness,1,3,2
21,Wildfire,1,3,2
21,Hurricane,2,2,3
21,Chemical spill,1,1,1
21,Terrorist threat,2,2,2
21,Contagious disease outbreak,1,1,3
21,Flooding,2,3,1
21,Earthquake,1,2,2
21,Foodborne illness,2,2,3
22,Wildfire,2,2,2
22,Hurricane,1,3,1
22,Chemical spill,2,1,3
22,Terrorist threat,1,2,2
22,Contagious disease outbreak,2,1,2
22,Flooding,1,3,1
22,Earthquake,2,2,3
22,Foodborne illness,1,1,2
23,Wildfire,1,3,3
23,Hurricane,2,2,2
23,Chemical spill,1,1,1
23,Terrorist threat,2,2,3
23,Contagious disease outbreak,1,3,1
23,Flooding,2,1,2
23,Earthquake,1,2,2
23,Foodborne illness,2,3,1
24,Wildfire,2,1,2
24,Hurricane,1,2,3
24,Chemical spill,2,3,1
24,Terrorist threat,1,1,2
24,Contagious disease outbreak,2,2,3
24,Flooding,1,3,1
24,Earthquake,2,1,3
24,Foodborne illness,1,2,2
25,Wildfire,1,2,2
25,Hurricane,2,1,3
25,Chemical spill,1,3,1
25,Terrorist threat,2,2,2
25,Contagious disease outbreak,1,1,3
25,Flooding,2,3,1
25,Earthquake,1,2,2
25,Foodborne illness,2,2,3
26,Wildfire,2,3,2
26,Hurricane,1,2,3
26,Chemical spill,2,1,1
26,Terrorist threat,1,2,2
26,Contagious disease outbreak,2,3,1
26,Flooding,1,1,2
26,Earthquake,2,2,3
26,Foodborne illness,1,3,1
27,Wildfire,1,2,3
27,Hurricane,2,3,2
27,Chemical spill,1,1,1
27,Terrorist threat,2,2,2
27,Contagious disease outbreak,1,3,3
27,Flooding,2,1,1
27,Earthquake,1,2,2
27,Foodborne illness,2,2,3
28,Wildfire,2,1,2
28,Hurricane,1,3,3
28,Chemical spill,2,2,1
28,Terrorist threat,1,1,2
28,Contagious disease outbreak,2,3,3
28,Flooding,1,2,1
28,Earthquake,2,3,2
28,Foodborne illness,1,1,3
29,Wildfire,1,2,2
29,Hurricane,2,3,3
29,Chemical spill,1,1,1
29,Terrorist threat,2,2,2
29,Contagious disease outbreak,1,3,3
29,Flooding,2,1,2
29,Earthquake,1,2,1
29,Foodborne illness,2,3,2
30,Wildfire,2,1,3
30,Hurricane,1,3,1
30,Chemical spill,2,2,1
30,Terrorist threat,1,1,3
30,Contagious disease outbreak,2,3,2
30,Flooding,1,2,1
30,Earthquake,2,1,3
30,Foodborne illness,1,3,2
31,Wildfire,1,3,2
31,Hurricane,2,2,3
31,Chemical spill,1,1,1
31,Terrorist threat,2,2,2
31,Contagious disease outbreak,1,1,3
31,Flooding,2,3,1
31,Earthquake,1,2,2
31,Foodborne illness,2,2,3
32,Wildfire,2,2,2
32,Hurricane,1,3,1
32,Chemical spill,2,1,3
32,Terrorist threat,1,2,2
32,Contagious disease outbreak,2,1,2
32,Flooding,1,3,1
32,Earthquake,2,2,3
32,Foodborne illness,1,1,2
33,Wildfire,1,3,3
33,Hurricane,2,2,2
33,Chemical spill,1,1,1
33,Terrorist threat,2,2,3
33,Contagious disease outbreak,1,3,1
33,Flooding,2,1,2
33,Earthquake,1,2,2
33,Foodborne illness,2,3,1
34,Wildfire,2,1,2
34,Hurricane,1,2,3
34,Chemical spill,2,3,1
34,Terrorist threat,1,1,2
34,Contagious disease outbreak,2,2,3
34,Flooding,1,3,1
34,Earthquake,2,1,3
34,Foodborne illness,1,2,2
35,Wildfire,1,2,2
35,Hurricane,2,1,3
35,Chemical spill,1,3,1
35,Terrorist threat,2,2,2
35,Contagious disease outbreak,1,1,3
35,Flooding,2,3,1
35,Earthquake,1,2,2
35,Foodborne illness,2,2,3
36,Wildfire,2,3,2
36,Hurricane,1,2,3
36,Chemical spill,2,1,1
36,Terrorist threat,1,2,2
36,Contagious disease outbreak,2,3,1
36,Flooding,1,1,2
36,Earthquake,2,2,3
36,Foodborne illness,1,3,1
37,Wildfire,1,2,3
37,Hurricane,2,3,2
37,Chemical spill,1,1,1
37,Terrorist threat,2,2,2
37,Contagious disease outbreak,1,3,3
37,Flooding,2,1,1
37,Earthquake,1,2,2
37,Foodborne illness,2,2,3
38,Wildfire,2,1,2
38,Hurricane,1,3,3
38,Chemical spill,2,2,1
38,Terrorist threat,1,1,2
38,Contagious disease outbreak,2,3,3
38,Flooding,1,2,1
38,Earthquake,2,3,2
38,Foodborne illness,1,1,3
39,Wildfire,1,2,2
39,Hurricane,2,3,3
39,Chemical spill,1,1,1
39,Terrorist threat,2,2,2
39,Contagious disease outbreak,1,3,3
39,Flooding,2,1,2
39,Earthquake,1,2,1
39,Foodborne illness,2,3,2
40,Wildfire,2,1,3
40,Hurricane,1,3,1
40,Chemical spill,2,2,1
40,Terrorist threat,1,1,3
40,Contagious disease outbreak,2,3,2
40,Flooding,1,2,1
40,Earthquake,2,1,3
40,Foodborne illness,1,3,2
41,Wildfire,1,3,2
41,Hurricane,2,2,3
41,Chemical spill,1,1,1
41,Terrorist threat,2,2,2
41,Contagious disease outbreak,1,1,3
41,Flooding,2,3,1
41,Earthquake,1,2,2
41,Foodborne illness,2,2,3
42,Wildfire,2,2,2
42,Hurricane,1,3,1
42,Chemical spill,2,1,3
42,Terrorist threat,1,2,2
42,Contagious disease outbreak,2,1,2
42,Flooding,1,3,1
42,Earthquake,2,2,3
42,Foodborne illness,1,1,2
43,Wildfire,1,3,3
43,Hurricane,2,2,2
43,Chemical spill,1,1,1
43,Terrorist threat,2,2,3
43,Contagious disease outbreak,1,3,1
43,Flooding,2,1,2
43,Earthquake,1,2,2
43,Foodborne illness,2,3,1
44,Wildfire,2,1,2
44,Hurricane,1,2,3
44,Chemical spill,2,3,1
44,Terrorist threat,1,1,2
44,Contagious disease outbreak,2,2,3
44,Flooding,1,3,1
44,Earthquake,2,1,3
44,Foodborne illness,1,2,2
45,Wildfire,1,2,2
45,Hurricane,2,1,3
45,Chemical spill,1,3,1
45,Terrorist threat,2,2,2
45,Contagious disease outbreak,1,1,3
45,Flooding,2,3,1
45,Earthquake,1,2,2
45,Foodborne illness,2,2,3
46,Wildfire,2,3,2
46,Hurricane,1,2,3
46,Chemical spill,2,1,1
46,Terrorist threat,1,2,2
46,Contagious disease outbreak,2,3,1
46,Flooding,1,1,2
46,Earthquake,2,2,3
46,Foodborne illness,1,3,1
47,Wildfire,1,2,3
47,Hurricane,2,3,2
47,Chemical spill,1,1,1
47,Terrorist threat,2,2,2
47,Contagious disease outbreak,1,3,3
47,Flooding,2,1,1
47,Earthquake,1,2,2
47,Foodborne illness,2,2,3
48,Wildfire,2,1,2
48,Hurricane,1,3,3
48,Chemical spill,2,2,1
48,Terrorist threat,1,1,2
48,Contagious disease outbreak,2,3,3
48,Flooding,1,2,1
48,Earthquake,2,3,2
48,Foodborne illness,1,1,3
49,Wildfire,1,2,2
49,Hurricane,2,3,3
49,Chemical spill,1,1,1
49,Terrorist threat,2,2,2
49,Contagious disease outbreak,1,3,3
49,Flooding,2,1,2
49,Earthquake,1,2,1
49,Foodborne illness,2,3,2
50,Wildfire,2,1,3
50,Hurricane,1,3,1
50,Chemical spill,2,2,1
50,Terrorist threat,1,1,3
50,Contagious disease outbreak,2,3,2
50,Flooding,1,2,1
50,Earthquake,2,1,3
50,Foodborne illness,1,3,2
51,Wildfire,1,3,2
51,Hurricane,2,2,3
51,Chemical spill,1,1,1
51,Terrorist threat,2,2,2
51,Contagious disease outbreak,1,1,3
51,Flooding,2,3,1
51,Earthquake,1,2,2
51,Foodborne illness,2,2,3
52,Wildfire,2,2,2
52,Hurricane,1,3,1
52,Chemical spill,2,1,3
52,Terrorist threat,1,2,2
52,Contagious disease outbreak,2,1,2
52,Flooding,1,3,1
52,Earthquake,2,2,3
52,Foodborne illness,1,1,2
53,Wildfire,1,3,3
53,Hurricane,2,2,2
53,Chemical spill,1,1,1
53,Terrorist threat,2,2,3
53,Contagious disease outbreak,1,3,1
53,Flooding,2,1,2
53,Earthquake,1,2,2
53,Foodborne illness,2,3,1
54,Wildfire,2,1,2
54,Hurricane,1,2,3
54,Chemical spill,2,3,1
54,Terrorist threat,1,1,2
54,Contagious disease outbreak,2,2,3
54,Flooding,1,3,1
54,Earthquake,2,1,3
54,Foodborne illness,1,2,2
55,Wildfire,1,2,2
55,Hurricane,2,1,3
55,Chemical spill,1,3,1
55,Terrorist threat,2,2,2
55,Contagious disease outbreak,1,1,3
55,Flooding,2,3,1
55,Earthquake,1,2,2
55,Foodborne illness,2,2,3
56,Wildfire,2,3,2
56,Hurricane,1,2,3
56,Chemical spill,2,1,1
56,Terrorist threat,1,2,2
56,Contagious disease outbreak,2,3,1
56,Flooding,1,1,2
56,Earthquake,2,2,3
56,Foodborne illness,1,3,1
57,Wildfire,1,2,3
57,Hurricane,2,3,2
57,Chemical spill,1,1,1
57,Terrorist threat,2,2,2
57,Contagious disease outbreak,1,3,3
57,Flooding,2,1,1
57,Earthquake,1,2,2
57,Foodborne illness,2,2,3
58,Wildfire,2,1,2
58,Hurricane,1,3,3
58,Chemical spill,2,2,1
58,Terrorist threat,1,1,2
58,Contagious disease outbreak,2,3,3
58,Flooding,1,2,1
58,Earthquake,2,3,2
58,Foodborne illness,1,1,3
59,Wildfire,1,2,2
59,Hurricane,2,3,3
59,Chemical spill,1,1,1
59,Terrorist threat,2,2,2
59,Contagious disease outbreak,1,3,3
59,Flooding,2,1,2
59,Earthquake,1,2,1
59,Foodborne illness,2,3,2
60,Wildfire,2,1,3
60,Hurricane,1,3,1
60,Chemical spill,2,2,1
60,Terrorist threat,1,1,3
60,Contagious disease outbreak,2,3,2
60,Flooding,1,2,1
60,Earthquake,2,1,3
60,Foodborne illness,1,3,2
61,Wildfire,1,3,2
61,Hurricane,2,2,3
61,Chemical spill,1,1,1
61,Terrorist threat,2,2,2
61,Contagious disease outbreak,1,1,3
61,Flooding,2,3,1
61,Earthquake,1,2,2
61,Foodborne illness,2,2,3
62,Wildfire,2,2,2
62,Hurricane,1,3,1
62,Chemical spill,2,1,3
62,Terrorist threat,1,2,2
62,Contagious disease outbreak,2,1,2
62,Flooding,1,3,1
62,Earthquake,2,2,3
62,Foodborne illness,1,1,2
63,Wildfire,1,3,3
63,Hurricane,2,2,2
63,Chemical spill,1,1,1
63,Terrorist threat,2,2,3
63,Contagious disease outbreak,1,3,1
63,Flooding,2,1,2
63,Earthquake,1,2,2
63,Foodborne illness,2,3,1
64,Wildfire,2,1,2
64,Hurricane,1,2,3
64,Chemical spill,2,3,1
64,Terrorist threat,1,1,2
64,Contagious disease outbreak,2,2,3
64,Flooding,1,3,1
64,Earthquake,2,1,3
64,Foodborne illness,1,2,2
65,Wildfire,1,2,2
65,Hurricane,2,1,3
65,Chemical spill,1,3,1
65,Terrorist threat,2,2,2
65,Contagious disease outbreak,1,1,3
65,Flooding,2,3,1
65,Earthquake,1,2,2
65,Foodborne illness,2,2,3
66,Wildfire,2,3,2
66,Hurricane,1,2,3
66,Chemical spill,2,1,1
66,Terrorist threat,1,2,2
66,Contagious disease outbreak,2,3,1
66,Flooding,1,1,2
66,Earthquake,2,2,3
66,Foodborne illness,1,3,1
67,Wildfire,1,2,3
67,Hurricane,2,3,2
67,Chemical spill,1,1,1
67,Terrorist threat,2,2,2
67,Contagious disease outbreak,1,3,3
67,Flooding,2,1,1
67,Earthquake,1,2,2
67,Foodborne illness,2,2,3
68,Wildfire,2,1,2
68,Hurricane,1,3,3
68,Chemical spill,2,2,1
68,Terrorist threat,1,1,2
68,Contagious disease outbreak,2,3,3
68,Flooding,1,2,1
68,Earthquake,2,3,2
68,Foodborne illness,1,1,3
69,Wildfire,1,2,2
69,Hurricane,2,3,3
69,Chemical spill,1,1,1
69,Terrorist threat,2,2,2
69,Contagious disease outbreak,1,3,3
69,Flooding,2,1,2
69,Earthquake,1,2,1
69,Foodborne illness,2,3,2
70,Wildfire,2,1,3
70,Hurricane,1,3,1
70,Chemical spill,2,2,1
70,Terrorist threat,1,1,3
70,Contagious disease outbreak,2,3,2
70,Flooding,1,2,1
70,Earthquake,2,1,3
70,Foodborne illness,1,3,2
71,Wildfire,1,3,2
71,Hurricane,2,2,3
71,Chemical spill,1,1,1
71,Terrorist threat,2,2,2
71,Contagious disease outbreak,1,1,3
71,Flooding,2,3,1
71,Earthquake,1,2,2
71,Foodborne illness,2,2,3
72,Wildfire,2,2,2
72,Hurricane,1,3,1
72,Chemical spill,2,1,3
72,Terrorist threat,1,2,2
72,Contagious disease outbreak,2,1,2
72,Flooding,1,3,1
72,Earthquake,2,2,3
72,Foodborne illness,1,1,2
73,Wildfire,1,3,3
73,Hurricane,2,2,2
73,Chemical spill,1,1,1
73,Terrorist threat,2,2,3
73,Contagious disease outbreak,1,3,1
73,Flooding,2,1,2
73,Earthquake,1,2,2
73,Foodborne illness,2,3,1
74,Wildfire,2,1,2
74,Hurricane,1,2,3
74,Chemical spill,2,3,1
74,Terrorist threat,1,1,2
74,Contagious disease outbreak,2,2,3
74,Flooding,1,3,1
74,Earthquake,2,1,3
74,Foodborne illness,1,2,2
75,Wildfire,1,2,2
75,Hurricane,2,1,3
75,Chemical spill,1,3,1
75,Terrorist threat,2,2,2
75,Contagious disease outbreak,1,1,3
75,Flooding,2,3,1
75,Earthquake,1,2,2
75,Foodborne illness,2,2,3
76,Wildfire,2,3,2
76,Hurricane,1,2,3
76,Chemical spill,2,1,1
76,Terrorist threat,1,2,2
76,Contagious disease outbreak,2,3,1
76,Flooding,1,1,2
76,Earthquake,2,2,3
76,Foodborne illness,1,3,1
77,Wildfire,1,2,3
77,Hurricane,2,3,2
77,Chemical spill,1,1,1
77,Terrorist threat,2,2,2
77,Contagious disease outbreak,1,3,3
77,Flooding,2,1,1
77,Earthquake,1,2,2
77,Foodborne illness,2,2,3
78,Wildfire,2,1,2
78,Hurricane,1,3,3
78,Chemical spill,2,2,1
78,Terrorist threat,1,1,2
78,Contagious disease outbreak,2,3,3
78,Flooding,1,2,1
78,Earthquake,2,3,2
78,Foodborne illness,1,1,3
79,Wildfire,1,2,2
79,Hurricane,2,3,3
79,Chemical spill,1,1,1
79,Terrorist threat,2,2,2
79,Contagious disease outbreak,1,3,3
79,Flooding,2,1,2
79,Earthquake,1,2,1
79,Foodborne illness,2,3,2
80,Wildfire,2,1,3
80,Hurricane,1,3,1
80,Chemical spill,2,2,1
80,Terrorist threat,1,1,3
80,Contagious disease outbreak,2,3,2
80,Flooding,1,2,1
80,Earthquake,2,1,3
80,Foodborne illness,1,3,2
81,Wildfire,1,3,2
81,Hurricane,2,2,3
81,Chemical spill,1,1,1
81,Terrorist threat,2,2,2
81,Contagious disease outbreak,1,1,3
81,Flooding,2,3,1
81,Earthquake,1,2,2
81,Foodborne illness,2,2,3
82,Wildfire,2,2,2
82,Hurricane,1,3,1
82,Chemical spill,2,1,3
82,Terrorist threat,1,2,2
82,Contagious disease outbreak,2,1,2
82,Flooding,1,3,1
82,Earthquake,2,2,3
82,Foodborne illness,1,1,2
83,Wildfire,1,3,3
83,Hurricane,2,2,2
83,Chemical spill,1,1,1
83,Terrorist threat,2,2,3
83,Contagious disease outbreak,1,3,1
83,Flooding,2,1,2
83,Earthquake,1,2,2
83,Foodborne illness,2,3,1
84,Wildfire,2,1,2
84,Hurricane,1,2,3
84,Chemical spill,2,3,1
84,Terrorist threat,1,1,2
84,Contagious disease outbreak,2,2,3
84,Flooding,1,3,1
84,Earthquake,2,1,3
84,Foodborne illness,1,2,2
85,Wildfire,1,2,2
85,Hurricane,2,1,3
85,Chemical spill,1,3,1
85,Terrorist threat,2,2,2
85,Contagious disease outbreak,1,1,3
85,Flooding,2,3,1
85,Earthquake,1,2,2
85,Foodborne illness,2,2,3
86,Wildfire,2,3,2
86,Hurricane,1,2,3
86,Chemical spill,2,1,1
86,Terrorist threat,1,2,2
86,Contagious disease outbreak,2,3,1
86,Flooding,1,1,2
86,Earthquake,2,2,3
86,Foodborne illness,1,3,1
87,Wildfire,1,2,3
87,Hurricane,2,3,2
87,Chemical spill,1,1,1
87,Terrorist threat,2,2,2
87,Contagious disease outbreak,1,3,3
87,Flooding,2,1,1
87,Earthquake,1,2,2
87,Foodborne illness,2,2,3
88,Wildfire,2,1,2
88,Hurricane,1,3,3
88,Chemical spill,2,2,1
88,Terrorist threat,1,1,2
88,Contagious disease outbreak,2,3,3
88,Flooding,1,2,1
88,Earthquake,2,3,2
88,Foodborne illness,1,1,3
89,Wildfire,1,2,2
89,Hurricane,2,3,3
89,Chemical spill,1,1,1
89,Terrorist threat,2,2,2
89,Contagious disease outbreak,1,3,3
89,Flooding,2,1,2
89,Earthquake,1,2,1
89,Foodborne illness,2,3,2
90,Wildfire,2,1,3
90,Hurricane,1,3,1
90,Chemical spill,2,2,1
90,Terrorist threat,1,1,3
90,Contagious disease outbreak,2,3,2
90,Flooding,1,2,1
90,Earthquake,2,1,3
90,Foodborne illness,1,3,2
91,Wildfire,1,3,2
91,Hurricane,2,2,3
91,Chemical spill,1,1,1
91,Terrorist threat,2,2,2
91,Contagious disease outbreak,1,1,3
91,Flooding,2,3,1
91,Earthquake,1,2,2
91,Foodborne illness,2,2,3
92,Wildfire,2,2,2
92,Hurricane,1,3,1
92,Chemical spill,2,1,3
92,Terrorist threat,1,2,2
92,Contagious disease outbreak,2,1,2
92,Flooding,1,3,1
92,Earthquake,2,2,3
92,Foodborne illness,1,1,2
93,Wildfire,1,3,3
93,Hurricane,2,2,2
93,Chemical spill,1,1,1
93,Terrorist threat,2,2,3
93,Contagious disease outbreak,1,3,1
93,Flooding,2,1,2
93,Earthquake,1,2,2
93,Foodborne illness,2,3,1
94,Wildfire,2,1,2
94,Hurricane,1,2,3
94,Chemical spill,2,3,1
94,Terrorist threat,1,1,2
94,Contagious disease outbreak,2,2,3
94,Flooding,1,3,1
94,Earthquake,2,1,3
94,Foodborne illness,1,2,2
95,Wildfire,1,2,2
95,Hurricane,2,1,3
95,Chemical spill,1,3,1
95,Terrorist threat,2,2,2
95,Contagious disease outbreak,1,1,3
95,Flooding,2,3,1
95,Earthquake,1,2,2
95,Foodborne illness,2,2,3
96,Wildfire,2,3,2
96,Hurricane,1,2,3
96,Chemical spill,2,1,1
96,Terrorist threat,1,2,2
96,Contagious disease outbreak,2,3,1
96,Flooding,1,1,2
96,Earthquake,2,2,3
96,Foodborne illness,1,3,1
97,Wildfire,1,2,3
97,Hurricane,2,3,2
97,Chemical spill,1,1,1
97,Terrorist threat,2,2,2
97,Contagious disease outbreak,1,3,3
97,Flooding,2,1,1
97,Earthquake,1,2,2
97,Foodborne illness,2,2,3
98,Wildfire,2,1,2
98,Hurricane,1,3,3
98,Chemical spill,2,2,1
98,Terrorist threat,1,1,2
98,Contagious disease outbreak,2,3,3
98,Flooding,1,2,1
98,Earthquake,2,3,2
98,Foodborne illness,1,1,3
99,Wildfire,1,2,2
99,Hurricane,2,3,3
99,Chemical spill,1,1,1
99,Terrorist threat,2,2,2
99,Contagious disease outbreak,1,3,3
99,Flooding,2,1,2
99,Earthquake,1,2,1
99,Foodborne illness,2,3,2
100,Wildfire,2,1,3
100,Hurricane,1,3,1
100,Chemical spill,2,2,1
100,Terrorist threat,1,1,3
100,Contagious disease outbreak,2,3,2
100,Flooding,1,2,1
100,Earthquake,2,1,3
100,Foodborne illness,1,3,2

